val_loss,val_accuracy,val_f1,epoch,step,train_loss,train_accuracy,train_f1,test_loss,test_accuracy,test_f1
0.6928101778030396,0.8363999724388123,0.8363999724388123,0,99,,,,,,
,,,0,99,1.354659080505371,0.6506249904632568,0.6506249904632568,,,
0.43590274453163147,0.8862000107765198,0.8862000107765198,1,199,,,,,,
,,,1,199,0.5426905155181885,0.8656250238418579,0.8656250238418579,,,
0.37236449122428894,0.8999999761581421,0.8999999761581421,2,299,,,,,,
,,,2,299,0.4099538028240204,0.8915625214576721,0.8915625214576721,,,
0.34253910183906555,0.8996000289916992,0.8996000289916992,3,399,,,,,,
,,,3,399,0.34834006428718567,0.9053124785423279,0.9053124785423279,,,
0.31662362813949585,0.9088000059127808,0.9088000059127808,4,499,,,,,,
,,,4,499,0.33819296956062317,0.9046875238418579,0.9046875238418579,,,
0.29005229473114014,0.9168000221252441,0.9168000221252441,5,599,,,,,,
,,,5,599,0.3234640061855316,0.9078124761581421,0.9078124761581421,,,
0.2853105366230011,0.9139999747276306,0.9139999747276306,6,699,,,,,,
,,,6,699,0.3045918643474579,0.9084374904632568,0.9084374904632568,,,
0.26888343691825867,0.9214000105857849,0.9214000105857849,7,799,,,,,,
,,,7,799,0.2922952175140381,0.9150000214576721,0.9150000214576721,,,
0.2569376826286316,0.9233999848365784,0.9233999848365784,8,899,,,,,,
,,,8,899,0.2757517695426941,0.9275000095367432,0.9275000095367432,,,
0.25904253125190735,0.9192000031471252,0.9192000031471252,9,999,,,,,,
,,,9,999,0.2780104875564575,0.925000011920929,0.925000011920929,,,
0.25904253125190735,0.9192000031471252,0.9192000031471252,10,1000,,,,,,
,,,10,1000,,,,0.2668823301792145,0.9218999743461609,0.9218999743461609
